FORMATION;;;
;;1;ELSP-IEP
;;2;ENS
;;3;X
;;4;ENA
;;5;IEP+ENA
;;6;X+ MINES
;;7;ENCP
;;8;HEC
;;9;INSEAD
;;10;EHESS
;;11;Journalisme
;;12;MBA
